Alias,CRA-Attestation-Survey-2026-FOSDEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export Date,23/02/2026 11:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What part of the world are you located in?,Are you employed at a company which uses or publishes open source?,What is the approximate size of this company?,What part of the world is the company headquartered in?,What sector does this company primarily operate in?,What areas of technology does the company operate in?,Does the company produce and/or sell a product with digital elements in Europe?,"As it relates to the Software Bill of Materials (SBOM) for your product(s) with digital elements, please indicate your company's current status","As it relates to the Software Bill of Materials (SBOM) for product(s) with digital elements that contain Free and Open Source Software (FOSS), please indicate your company's current status",Has the company ever performed a product security audit or acquired a product safety certification before?,Did the audit or certification include the FOSS components in your product?,Please share anything you learned from the experience,"How would you estimate the effort to audit or certify externally-maintained open source components, relative to first-party code?","Do you think the company would fund open source projects if those projects produced an attestation, or other document, that reduced the effort required to audit or certify your products that contain open source?",How much (€)?,"For each of the following, please indicate (scale of 1-5) whether this information, if made available and in a machine-readable format, would directly reduce your company's anticipated compliance burden:: Whether the open source project had recently undergone a security review by an accredited party, and the details of that review.","For each of the following, please indicate (scale of 1-5) whether this information, if made available and in a machine-readable format, would directly reduce your company's anticipated compliance burden:: Whether the open source project can demonstrate adherence to the SDLC.","For each of the following, please indicate (scale of 1-5) whether this information, if made available and in a machine-readable format, would directly reduce your company's anticipated compliance burden:: Whether the open source project can demonstrate adherence to the NIST SSDF.","For each of the following, please indicate (scale of 1-5) whether this information, if made available and in a machine-readable format, would directly reduce your company's anticipated compliance burden:: Whether the open source project has a documented vulnerability management process, and what industry standards it follows.","For each of the following, please indicate (scale of 1-5) whether this information, if made available and in a machine-readable format, would directly reduce your company's anticipated compliance burden:: Whether the open source project has a documented security policy, and what industry standards it follows.","For each of the following, please indicate (scale of 1-5) whether this information, if made available and in a machine-readable format, would directly reduce your company's anticipated compliance burden:: Whether the open source project has a secure development guide or security-relevant onboarding for new developers and maintainers.","For each of the following, please indicate (scale of 1-5) whether this information, if made available and in a machine-readable format, would directly reduce your company's anticipated compliance burden:: Whether the open source project has and maintains a leadership succession plan.","For each of the following, please indicate (scale of 1-5) whether this information, if made available and in a machine-readable format, would directly reduce your company's anticipated compliance burden:: Whether the open source project has and maintains a release cadence, including indicating version support and end-of-life.","For each of the following, please indicate (scale of 1-5) whether this information, if made available and in a machine-readable format, would directly reduce your company's anticipated compliance burden:: Whether the open source project has and maintains (even if not publicly available) documentation regarding the control or management of its infrastructure, including but not limited to the hosting of source code, its build and test environments, its release signing and publication, and its intellectual property (copyright, trademark, domain names, etc).","For each of the following, please indicate (scale of 1-5) whether this information, if made available and in a machine-readable format, would directly reduce your company's anticipated compliance burden:: Whether the open source project has, or intends to have, a formal relationship with a legal entity recognised as an Open Source Software Steward in Europe.","For each of the following, please indicate (scale of 1-5) whether this information, if made available and in a machine-readable format, would directly reduce your company's anticipated compliance burden:: Whether the open source project team would commit to perform subsequent or additional security-related activities, such as additional reviews or maintenance of older releases, if additional funding were secured.",Do you produce and maintain free and open source software?,"Thinking of the largest project you contribute to, approximately how many people participate in it?",Is it intended for commercial use?,Do you contribute to free and open source software?,Is it intended for commercial use?,Do you participate in the support or maintenance of free and open source software?,The free and open source software you support or maintain is ...,"Do you represent, or are in a leadership position at, a legal entity which is responsible for publishing or maintaining open source software?",Does this project or organisation have any of the following?,"For each of the following, please indicate (scale of 1-5) how much effort would be required to make this information available and in a machine-readable format: Whether the open source project had recently undergone a security review by an accredited party, and the details of that review.","For each of the following, please indicate (scale of 1-5) how much effort would be required to make this information available and in a machine-readable format: Whether the open source project can demonstrate adherence to the NIST SSDF.","For each of the following, please indicate (scale of 1-5) how much effort would be required to make this information available and in a machine-readable format: Whether the open source project has a documented vulnerability management process, and what industry standards it follows.","For each of the following, please indicate (scale of 1-5) how much effort would be required to make this information available and in a machine-readable format: Whether the open source project has a documented security policy, and what industry standards it follows.","For each of the following, please indicate (scale of 1-5) how much effort would be required to make this information available and in a machine-readable format: Whether the open source project has a secure development guide or security-relevant onboarding for new developers and maintainers.","For each of the following, please indicate (scale of 1-5) how much effort would be required to make this information available and in a machine-readable format: Whether the open source project has and maintains a leadership succession plan.","For each of the following, please indicate (scale of 1-5) how much effort would be required to make this information available and in a machine-readable format: Whether the open source project has and maintains a release cadence, including indicating version support and end-of-life.","For each of the following, please indicate (scale of 1-5) how much effort would be required to make this information available and in a machine-readable format: Whether the open source project has and maintains (even if not publicly available) documentation regarding the control or management of its infrastructure, including but not limited to the hosting of source code, its build and test environments, its release signing and publication, and its intellectual property (copyright, trademark, domain names, etc).","For each of the following, please indicate (scale of 1-5) how much effort would be required to make this information available and in a machine-readable format: Whether the open source project has, or intends to have, a formal relationship with a legal entity recognized as an Open Source Software Steward in Europe.","For each of the following, please indicate (scale of 1-5) how much effort would be required to make this information available and in a machine-readable format: Whether the open source project team would commit to perform subsequent or additional security-related activities, such as additional reviews or maintenance of older releases, if additional funding were promised in exchange for it.","For each of the following, please indicate (scale of 1-5) how much effort would be required to make this information available and in a machine-readable format: Whether the open source project can demonstrate adherence to the SDLC."
Europe,Yes,< 100,Europe,Technology,Software Vendor,Yes,completed rollout of SBOM in all products,"FOSS dependencies are tracked to a significant depth and level of detail, and included in the SBOMs we produce",No,No,,High,Yes,,4,3,3,5,5,3,4,5,3,2,1,Yes,< 100 members,Yes,Yes,Yes,Yes,Owned by a for-profit corporation,Yes,Have a publicly documented vulnerability handling policy;Have a long-term-support release policy;Participation in CVE number assignment,1,1,1,1,1,1,1,1,1,1,1
Europe,Yes,< 1000,North America,Technology,Software Vendor,Yes,"exploring SBOM, but not implemented","some FOSS, such as larger components and top-level dependencies, is currently included in the SBOMs we produce",Yes,Yes,"Lengthy, complex and headache inducing",High,Yes,Totally unsure but it would ha w to be reasonable ,4,4,2,4,4,4,3,5,4,3,3,Yes,< 1000 members,No,Yes,No,Yes,Owned by a for-profit corporation,Yes,Have a publicly documented vulnerability handling policy;Have a long-term-support release policy;A partnership with commercial providers for LTS versions;Participation in CVE number assignment,4,2,4,4,4,4,4,3,3,3,3
Europe,No,,,,,,,,,,,,,,,,,,,,,,,,,Yes,< 100 members,Yes,Yes,No,Yes,"Owned by a legal entity such as a U.S. 501c3 or 501c6, a Belgian AISBL, or another form of non-profit",No,Have a publicly documented vulnerability handling policy;Have a long-term-support release policy;A partnership with commercial providers for LTS versions;Participation in CVE number assignment,,,,,,,,,,,
Africa,No,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,No,,No,Have a publicly documented vulnerability handling policy;Have a long-term-support release policy,1,1,1,1,1,1,1,1,1,1,1
Asia-Pacific,No,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,No,,No,,3,3,3,3,3,3,3,3,3,3,3
North America,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,< 10 members,,Yes,Yes,Yes,Owned by a for-profit corporation,Yes,Have a publicly documented vulnerability handling policy,,,,,,,,,,,
Asia-Pacific,No,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,No,,No,,,,,,,,,,,,
North America,No,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Greater,Yes,Yes,Yes,Yes,Not affiliated with or owned by any legal entity,No,Have a publicly documented vulnerability handling policy;Have a long-term-support release policy;A partnership with commercial providers for LTS versions;Participation in CVE number assignment,2,2,3,5,3,3,5,3,3,5,3
Asia-Pacific,Yes,< 10,Asia-Pacific,Other,Other,No,"exploring SBOM, but not implemented",FOSS is not currently included in the SBOMs we produce,No,,,About the same,Yes,,,,,,,,,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,,,
Asia-Pacific,Yes,Greater,Asia-Pacific,Technology,Software Vendor;Hardware Vendor;Cloud Services;Online Platforms,Yes,not exploring SBOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,Yes,< 100,North America,Technology,Software Vendor;Cloud Services,Yes,not exploring SBOM,FOSS is not currently included in the SBOMs we produce,Yes,Yes,,High,No,,5,4,4,5,5,5,2,2,2,1,2,Yes,< 1000 members,No,Yes,No,Yes,"Owned by a legal entity such as a U.S. 501c3 or 501c6, a Belgian AISBL, or another form of non-profit",No,Have a publicly documented vulnerability handling policy;Participation in CVE number assignment,1,1,1,1,2,1,1,3,1,1,1
Europe,Yes,< 100,North America,Technology,Software Vendor;Cloud Services;Online Platforms,Yes,not exploring SBOM,,Yes,Yes,,About the same,Yes,,4,3,3,4,4,2,2,2,4,4,4,Yes,Greater,Yes,Yes,Yes,Yes,Owned by a for-profit corporation,No,Have a publicly documented vulnerability handling policy;Have a long-term-support release policy;Participation in CVE number assignment,2,2,2,2,2,4,3,4,2,4,4
North America,Yes,Greater,North America,Defense,Software Vendor;Cloud Services;Other,No,completed rollout of SBOM in some products,"FOSS dependencies are tracked to a significant depth and level of detail, and included in the SBOMs we produce",No,No,,Very High,No,,2,1,1,3,3,3,1,2,1,1,5,Yes,Greater,Yes,Yes,Yes,Yes,"Owned by a legal entity such as a U.S. 501c3 or 501c6, a Belgian AISBL, or another form of non-profit",No,,,,,,,,,,,,
Europe,No,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,No,,No,,,,,,,,,,,,
Asia-Pacific,No,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,No,,No,Have a long-term-support release policy,5,4,4,4,4,5,5,4,4,4,5
North America,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,No,,No,A partnership with commercial providers for LTS versions,3,3,3,3,3,3,3,3,3,3,3
North America,No,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,No,,No,,,,,,,,,,,,
Europe,Yes,< 100,South America,Communications,Software Vendor,Yes,completed rollout of SBOM in all products,FOSS is not currently included in the SBOMs we produce,No,Yes,Tengo buena experiencia ,High,Yes,6664,4,,3,4,5,4,4,4,3,3,3,Yes,< 100 members,Yes,Yes,Yes,Yes,"Owned by a legal entity such as a U.S. 501c3 or 501c6, a Belgian AISBL, or another form of non-profit",Yes,A partnership with commercial providers for LTS versions,4,3,4,4,4,3,4,4,3,3,4
